length,count
-43,2
-42,4
-41,4
-40,9
-39,10
-38,27
-37,15
-36,50
-35,29
-34,86
-33,37
-32,165
-31,73
-30,238
-29,107
-28,382
-27,194
-26,539
-25,293
-24,984
-23,389
-22,1012
-21,585
-20,1986
-19,759
-18,2119
-17,986
-16,3727
-15,2118
-14,3939
-13,2118
-12,8764
-11,2741
-10,8215
-9,4426
-8,16036
-7,5321
-6,19232
-5,18382
-4,71630
-3,41525
-2,109592
-1,281414
1,304088
2,109146
3,33188
4,61497
5,14112
6,15290
7,3621
8,11632
9,2994
10,4646
11,1402
12,4365
13,978
14,1470
15,950
16,1287
17,469
18,568
19,272
20,351
21,177
22,104
23,60
24,46
25,24
26,8
27,4
28,1
